,Date,Close,Probability,Position,Actual_Return,Strategy_Return,Cumulative_Strategy,Cumulative_Market
67,2025-03-28,23519.34961,1.0,1,-0.0151507668197155,-0.0151507668197155,0.9732979670262838,0.9732979670262838
68,2025-04-01,23165.69922,1.0,1,0.007168089970946312,0.007168089970946312,0.9802746544224673,0.9802746544224673
69,2025-04-02,23332.34961,1.0,1,-0.0035313765984028578,-0.0035313765984028578,0.9768129354478323,0.9768129354478323
70,2025-04-03,23250.09961,1.0,1,-0.014978235587477684,-0.014978235587477684,0.9621820011757991,0.9621820011757991
71,2025-04-04,22904.44922,1.0,1,-0.032970137894153595,-0.032970137894153595,0.9304587279177604,0.9304587279177604
72,2025-04-07,22161.59961,1.0,1,0.016746314242482185,0.016746314242482185,0.9460404821651315,0.9460404821651315
73,2025-04-08,22535.84961,1.0,1,-0.006084328051656485,-0.006084328051656485,0.9402844615214916,0.9402844615214916
74,2025-04-09,22399.15039,1.0,1,0.018988950178027153,0.018988950178027153,0.9581394763144963,0.9581394763144963
75,2025-04-11,22828.55078,1.0,1,0.021665986627340317,0.021665986627340317,0.978898513395453,0.978898513395453
76,2025-04-15,23328.55078,1.0,1,0.0046465047635138035,0.0046465047635138035,0.9834469700009415,0.9834469700009415
77,2025-04-16,23437.19922,1.0,1,0.017528943717479706,0.017528943717479706,1.000685756587214,1.000685756587214
78,2025-04-17,23851.65039,1.0,1,0.011418063193559647,0.011418063193559647,1.012111649792822,1.012111649792822
79,2025-04-21,24125.55078,1.0,1,0.0017269336385652423,0.0017269336385652423,1.013859499446833,1.013859499446833
80,2025-04-22,24167.25,1.0,1,0.006668556481599808,0.006668556481599808,1.0206204787833009,1.0206204787833009
81,2025-04-23,24328.94922,1.0,1,-0.003386473748832941,-0.003386473748832941,1.01716417432438,1.01716417432438
82,2025-04-24,24246.69922,1.0,1,-0.008588438853621483,-0.008588438853621483,1.0084283220091006,1.0084283220091006
83,2025-04-25,24039.34961,1.0,1,0.01195644773542881,0.01195644773542881,1.0204855425361286,1.0204855425361286
84,2025-04-28,24328.5,1.0,1,0.00030614627758041024,0.00030614627758041024,1.0207979603863007,1.0207979603863007
85,2025-04-29,24335.94922,1.0,1,-7.191266195150092e-05,-7.191266195150092e-05,1.0207245520876547,1.0207245520876547
86,2025-04-30,24334.19922,1.0,1,0.0005135484389029443,0.0005135484389029443,1.0212487435879292,1.0212487435879292
87,2025-05-02,24346.69922,1.0,1,0.004689875990152359,0.004689875990152359,1.0260382735504554,1.0260382735504554
88,2025-05-05,24461.15039,1.0,1,-0.003339459653943777,-0.003339459653943777,1.0226118601325316,1.0226118601325316
89,2025-05-06,24379.59961,1.0,1,0.0014264370547607541,0.0014264370547607541,1.0240705515824624,1.0240705515824624
90,2025-05-07,24414.40039,1.0,1,-0.0057755266316235065,-0.0057755266316235065,1.0181560048391365,1.0181560048391365
91,2025-05-08,24273.80078,1.0,1,-0.011010503396391869,-0.011010503396391869,1.0069455946897985,1.0069455946897985
92,2025-05-09,24008.0,1.0,1,0.03747214004397392,0.03747214004397392,1.0446780010306773,1.0446780010306773
93,2025-05-12,24924.69922,1.0,1,-0.01399329025298357,-0.01399329025298357,1.0300595185413484,1.0300595185413484
94,2025-05-13,24578.34961,1.0,1,0.0035963214468210936,0.0035963214468210936,1.0337639436793808,1.0337639436793808
95,2025-05-14,24666.90039,1.0,1,0.01589445024728775,0.01589445024728775,1.0501950532496327,1.0501950532496327
96,2025-05-15,25062.09961,1.0,1,-0.0016891866689547896,-0.0016891866689547896,1.0484210777658811,1.0484210777658811
97,2025-05-16,25019.80078,1.0,1,-0.0029761330224573612,-0.0029761330224573612,1.0453008371749017,1.0453008371749017
98,2025-05-19,24945.44922,1.0,1,-0.010540184564888477,-0.010540184564888477,1.0342831734252458,1.0342831734252458
99,2025-05-20,24683.90039,1.0,1,0.005234588403254747,0.005234588403254747,1.039697220130539,1.039697220130539
100,2025-05-21,24813.44922,1.0,1,-0.008245171047747135,-0.008245171047747135,1.0311247387126956,1.0311247387126956
101,2025-05-22,24609.69922,1.0,1,0.009843878448009491,0.009843878448009491,1.041275005305319,1.041275005305319
102,2025-05-23,24853.15039,1.0,1,0.005937318783253431,0.005937318783253431,1.0474573869528505,1.0474573869528505
103,2025-05-26,25001.15039,1.0,1,-0.007022323552519083,-0.007022323552519083,1.0401018022741915,1.0401018022741915
104,2025-05-27,24826.19922,1.0,1,-0.002975073177367449,-0.002975073177367449,1.037007423300514,1.037007423300514
105,2025-05-28,24752.44922,1.0,1,0.0032731166575104,0.0032731166575104,1.040401669571681,1.040401669571681
106,2025-05-29,24833.59961,1.0,1,-0.003343819174915552,-0.003343819174915552,1.036922754519353,1.036922754519353
107,2025-05-30,24750.69922,1.0,1,-0.001378673012368381,-0.001378673012368381,1.0354931771017863,1.0354931771017863
108,2025-06-02,24716.59961,1.0,1,-0.007068758364766836,-0.007068758364766836,1.028173526044489,1.028173526044489
109,2025-06-03,24542.5,1.0,1,0.0031609039288014174,0.0031609039288014174,1.0314234837824527,1.0314234837824527
110,2025-06-04,24620.19922,1.0,1,0.005294655449688435,0.005294655449688435,1.036884515751798,1.036884515751798
111,2025-06-05,24750.90039,1.0,1,0.010135981254279613,0.010135981254279613,1.0473943577663112,1.0473943577663112
